text,label
100 ಕ್ಕೆ 100 ಸರಿ,0
Hindhu huli yatnal❤,0
"ಈಗಲೂ ಬೆಂಗಳೂರಿನ ಹಲವಾರು ಕಡೆ ಪರೋಕ್ಷವಾಗಿ ಜಾಸ್ತಿ ವ್ಯವಸ್ಥೆ ಇದೆ. ಉದಾಹರಣೆಗೆ ಬಾಡಿಗೆಗೆ ಮನೆ ಬೇಕು ಅಂದರೆ ಕೆಳ ಜಾತಿ ಎಂದು ತಿಳಿದವರೆ ಅವರಿಗೆ ಮನೆ ಖಾಲಿ ಇಲ್ಲ ಎಂದು ಹೇಳಿ ಕಳುಹಿಸುವವರು ಇದ್ದಾರೆ. ಹಾಗೆ ತಮ್ಮದು ಬೇರೆ ಜಾತಿ ಎಂದು ಹೇಳಿಕೊಂಡು ವಾಸಿಸುತ್ತಿರುವವರು ಇದ್ದಾರೆ. ಬೆಂಗಳೂರಿನಂಥ ನಗರದಲ್ಲೂ ತಮ್ಮ ಹೆಸರುಗಳಿಂದ ಕೂಡ ಜಾತಿ ಪತ್ತೆ ಹಚ್ಚಬಲ್ಲರೆಂಬ ಕಾರಣಕ್ಕೆ ಹೆಸರು ಬದಲಾಯಿಸಿಕೊಂಡು ಇರುವ ಜನರೂ ಇದ್ದಾರೆ. 
ಇದು ಕೇವಲ ನೋಡಿ ಹೇಳುತ್ತಿರುವ ಮಾತಲ್ಲ ಅನುಭವದ ಮಾತುಗಳು ಇವೆ. 🙂
( ಜಾತಿ ಅನ್ನೋ ಪದ ಬಳಕೆ ಮಾಡಿದಕ್ಕೆ ಕ್ಷಮೆ ಇರಲಿ 🙏🏻 )",0
ಮೊದಲು ಇಸ್ಲಾಂ ಎಂದರೆ ಏನು ಕಲಿತುಕೊಂಡು ಬಾ,0
Idu congress secularism,0
ಗುಳ್ಳೆ ನರಿಗಳು ಹೇಳುವುದು ಒಂದು ಮಾಡುವುದು ಇನ್ನೊಂದು ಹಾಗೇನೇ ಇವರುಗಳು ಕೂಡ...,1
ಎಲ್ಲ ದಲಿತರು ಈಗ 2 ಗುಂಪುಗಳಾಗಿ ಒಡೆದು ಹೋಗಿದ್ದಾರೆ ಸರ್ ಒಬ್ಬರು ಬಿಜೆಪಿ ಪರ ಮತ್ತೊಬರು ಕಾಂಗ್ರೆಸ್ ಪರ,1
ಸರ್ಕಾರ ಎಲ್ಲಾ ಅರ್ಜಿಗಳಲ್ಲಿ ಜಾತಿ ಅನ್ನುವ ಕಾಲಂ ತೆಗೆದು ಹಾಕಿದರೆ ಮತ್ತು ಶಾಲೆಗಳಲ್ಲಿ ಫೀಸ್ ಸಮವಾಗಿ ವಿಧಿಸಿದರೆ ಜಾತಿ ಪದ್ಧತಿ ನಿರ್ಮೂಲನೆ ಆಗುತ್ತದೆ.,0
ಯಾವ ಘನತೆ ಇಟ್ಟುಕೊಂಡು ಇವನು ಡಿಬೇಟ್ ನಲ್ಲಿ ಕೂರ್ತಾನೆ ಅಬ್ದುಲ್ ರಜಾಕ್ ನಂದೇ ಅಂತ ವಾದಮಾಡುತ್ತಾನೆ,0
Razak na oddu hodisrii. Sumne divert madtha iddane... Lofer,1
ಬಿಟ್ಟಿ ಭಾಗ್ಯದ ಆಸೆಯಿಂದ ಓಟು ಹಾಕಿದ ನಮ್ಮ ದಡ್ಡ ಜನರಿಗೆ ಇದು ಒಂದು ಎಚ್ಚರಿಕೆ ಅಂತ ಹೇಳುವುದರಲ್ಲಿ ತಪ್ಪೇ ಇಲ್ಲ ಅನುಬವಿಸಿ ನಿಮಗೆ ಇದು ಬೇಕಿತ್ತು😂😂😂😂😂😂😂😂,0
Nimmatra Valle Mattar ede,0
ಒಂದ್ ಸಲ ಸಾಬ್ರ್ 40-50% ಜನಸಂಖ್ಯೆ ದಾಟಿದ ಮೇಲೆ ಅರ್ಥ ಆಗುತ್ತೆ ಪ್ರಜಾಪ್ರಭುತ್ವ ಅಂದ್ರೆ ಏನು ಅಂತ. ನಿನ್ನ ಹಂತ ಕುರುಡ ಹಿಂದುಗಳ ಕಣ್ಣು ತೆರೆಯೋದಿಲ್ಲ ಬಿಡು. ಶಿವಾಜಿ ಮಹಾರಾಜರಂತವರು ಅವರ ಜೀವನ ಹಿಂದು ಗಳಿಗಾಗಿ ಹೋರಾಟ ಮಾಡಿದಕ್ಕೆ ಇವತ್ತು ನಿನ್ನ ಹೆಸರು ಲಕ್ಷ್ಮೀಕಾಂತ.. ಇಲ್ಲದ್ದರೆ ನೀನೊಬ್ಬ ಅಬ್ದುಲ್ ಫಿರೋಜ್ ಆಗ್ತಿದ್ದೆ.,0
Nimma pakkada maneyalli sabru iddara?,0
Pungi das,0
 @shivarajm1138  neevu ide thar ankondidde thappu..avru yevthu deshakoskar yen madtil...bari swarth dharam aste avrge...,1
Yake nim Amma ge dengidhra dboss??? Sule magne,1
"ಎಲ್ಲ ಮುಸ್ಲಿಮರು ಕೆಟ್ಟವರಲ್ಲ ಆಗೆ  ಹಿಂದುಗಳಲಿಯೋ ಒಳೆಯವರು ಕೆಟ್ಟವರು ಇದ್ದರೆ  , ಮೊದಲು ನಮ್ಮ ರಾಜಕೀಯ ವ್ಯಕ್ತಿಗಳು ತಮ್ಮ ಉದ್ದರಕೊಸ್ಕರ ಇಜಾಭ್ ಎಂಬ ತಂತ್ರ ರೂಪಿಸಿ ಅಮಾಯಕ ಪ್ರಜೆಗಳನ್ನು ಬಲಿಪಶು ಮಾಡುತ್ತಿದ್ದಾರೆ ,ಎಲ್ಲರೂ ಒಗ್ಗಟ್ಟಿನಿಂದ ಇದ್ದರೆ ನಮ್ಮ ದೇಶ ರಾಮರಾಜ್ಯ ವಾಗುತದೆ ಮೊದಲು ಈ ಟೀವಿ ಚಾನಲ್ ರವರಿಗೆ ಓಡಿಬೇಕು ಉಪು ಕಾರ ಸೇರಿಸಿ ಇನ್ನೂ ದೊಡ್ಡ ಗಲಾಟೆ ಆಗುವಂತೆ ಮಾಡುತ್ತಾರೆ ಕೂಡಿ ಬಾಳಿದರೆ ಸ್ವರ್ಗ ಸುಖ,,,,,, ಜೈ ಶ್ರೀ ರಾಮ್",0
ಅಂತರ್ಜಾತಿ ವಿವಾಹ ಮತ್ತು ಶಾಲೆ ಸೇರಿಸುವಾಗ ಜಾತಿ ಪಟ್ಟಿ ಬಿಟ್ಟರೆ ಸಲ್ಪ ಸುದಾರಿಸುತ್ತೇ,0
Chappal this sanghi anchor,1
E ಸಬಾರ್ಗೆ e ಕಾಂಗ್ರೆಸ್ ಕೊಟ್ಟ ಕೆಟ್ಟ ಅಧಿಕಾರ ಯೋಚ್ನೆ ಮಾಡಿ ಜನಗಳೇ,0
Nin sabru maga,0
Evag nimd aitalla hage..!😂😂,0
Eno modlu nim kittogira yaru galate madtaro avrige helo,1
 @zuhra2391  ಸತ್ಯ ಹೇಳಿದಾಗ ಕಳ್ಳರು ಇದನ್ನೇ ನಮಗೆ ಹೇಳೋದು ಯಾಕಂದ್ರೆ ಅವರ ಹಾಗೆ ನಾವು ಅಲ್ಲಾ ಹೂ ಅಕ್ಬರ್ ಅಂತ ಬಾಂಬ್ ಹಾಕಲ್ಲವಲ್ಲ 😀😀😀😀😀,1
ಸೂಲಿಬೆಲೆ ಚಕ್ರವರ್ತಿ ಅವರನ್ನು ದಯವಿಟ್ಟು ಕರ್ನಾಟಕದ ಮುಖ್ಯಮಂತ್ರಿ ಮಾಡಿ,0
ಸೂಪರ್ ಸರ್ 🙏🙏🙏🙏🙏,0
Gandu Nan Maga,1
ಈ ಮನುವಾದಿ ಗಳು ಅವಕಾಶ ವಾದಿಗಳು ಇವರು ಹೇಳುವ ನಡೆ ಒಂದು ಪರಿ ನುಡಿ ಒಂದು ಪರಿ ಈ ಮನುವಾದಿ ಕುತಂತ್ರವಾದಿ ಗಳಿಗೆ ಕಿತ್ತು ಹಾಕಿ,1
Avanu yeneno bogaltiddane,1
ಪೋಲೀಸ್ ಅಧಿಕಾರಿ ತಬ್ಬಿಬ್ಬಾಗಿದ್ದಾರೆ....😂😂😂,0
Savarkar en maaadtidda,0
Reportar dhari thappisuva kelasa madabedi,0
ಈ ಉಪದೇಶ ಮಾಡುವವರು ಎಲ್ಲ ಬ್ರಹ್ಮಚಾರಿಗಳು.,1
ಮೊದಲು ನೀವು ಬಿಜಾಪುರ ಅನ್ನೋದನ್ನ ಬಿಡಿ ಅದು ವಿಜಯಪುರ,0
Banda berke hindu thu nindu ondu bala 😂😂 Jai Yatnal ❤🇮🇱🇮🇳,0
"Jaathi paddathi bari. marriage, public aste alla. Meesalaathi li doddadaagide.. ad ninthre, Elru sari agthare",0
ಈ ದೇಶದ sudrarige ಆರ್ಯ ರಿಂದ  ತೊಂದರೆಯಾಗಿದೆ,1
ಇತಿಹಾಸ ಸರಿಯಾಗಿ ಓದಿ ಬಿಟ್ಟು ಮಾತಾಡು ಪುಟ್ಟ,1
ಸಬುಕಾ ಲಾತ್,1
Gazab! Sulibele avre,1
Hindugalu chenagi  tindu malagi,0
"Dayavittu prathap sir isviyannu currect aagi heli adu 2020 rinda 2024 Alla...
1920 rinda",0
"ಇ ವೇಶ್ಯೆಯ ಮಗಾ... 1000 ವರ್ಷಗಳು ಇಸ್ಲಾಂ ರಾಜರಿಗೆ ಭ್ರಮಣ ಹುಡ್ಗೀರೇ ನಾ ಸಪ್ಲೈ ಮಾಡೋ ಫ್ಯಾಮಿಲಿ ಅವ್ನು
ಇವ್ನ್ ಅಜ್ಜರೆಲ್ಲಾ ಇಸ್ಲಾಂ ಮನ್ನೆಲಿ ಸುಳೆಗಾರಿಕ್ಕೆ ಮಾಡ್ಕೊಂಡಿರೋರು",1
100 righ anil kumar pratap Simha mp ademella tuba astimadedare coffe estate risarte 10 Evra pedege tenbahudu,0
Gowdas are the main culprit of castiesm in karnataka,0
Super gunrugale mantu nij,0
ಎಲ್ಲಾ ಪ್ರಕರಣಗಳು ವೋಟ್ ಬ್ಯಾಂಕ್ ರಾಜಕೀಯ ಮತ್ತು ಭ್ರಷ್ಟಾಚಾರ ಲೂಟಿ ಪಕ್ಕಾ ದೃಢಪಡಿಸುತ್ತದೆ,0
Sulaymaga chapli wadta . Maha ksntri . Bolimaga. Jai congress. Jai wakf board,1
​ @NilafAhmad-sc3mr ಮೊದಲು ನೀನು ಮನುಷ್ಯನಾಗಿ ಮದರಾಸ್ ಚಾಪ್ ಅಂದ ನಮಾಜ್ ಅಲ್ಲ🤧🤧🤧🤮🤮🤬🤬,1
ಜೈನರು ಹಾಗೂ ಬೌದ್ಧರು ಹಿಂದೂ ಧರ್ಮದಿಂದ ಹೊರ ಬಂದವರು 😁😁😁,1
ಸಮಾಜ ಹಾಳು ಮಾಡುವ ಮೂರ್ಖ ಇವನು,0
Hucha  sima,1
Hedi yathnal,1
Nin antha gaandu nan  maga yaaru illa,1
​ @pundarikalucky4059 ರಾಮ n ಗೆ ಎಷ್ಟು ಜನ ಅಪ್ಪಂದಿರು ಹೇಳು😂,1
ಹೋ ಭ್ರಮೆ 😂😂,0
 @alambasha242  Nim jai bheem drama ellrigu gottu bidappa jihadi😂🤣😂,1
"""ಜಾತಿ ಮೀಸಲಾತಿ"" ಕಿತ್ತು ಎಸೆಯುವುದಕ್ಕೆ ತಾಕತ್ತು ಇದೆಯಾ? Parthinium ಹೆಮ್ಮರವಾಗಿ ಬೆಳೆದಿದೆ. ಆರ್ಥಿಕ, ದೈಹಿಕ, ಮಾನಸಿಕ ದುರ್ಬಲರಿಗೆ ಸಿಗಬೇಕಾದ ಸವಳತ್ತಗಳನ್ನೇಲ್ಲೇ ಕೆಲವು ಪ್ರಭಲ ಸಮುದಾಯಗಳು vote bank ಗೋಸ್ಕರ, ಆಯ ಸ್ವಾಮೀಜಿಗಳನ್ನ ಬೀದಿಗೆ ಬಿಟ್ಟು ಆ ಮಠ ಗಳಿಗೆ ದೇಣಿಗೆ, ದತ್ತಿ ಕೊಡುವ ಮೂಲಕ vote ಗೆ ಕೊಂಡು ಕೊಳ್ಳುತ್ತಿದ್ದರೆ. ಎಲ್ಲಿದೆ ""ಸಮಾನತೆ""?",0
Sir ನೀವ್ ಹೇಳುತ್ತಾ ಇರೋ ಮಾತುಗಳು ನೂರಕ್ಕೆ ನೂರರಷ್ಟು ಸತ್ಯ. ಆದ್ರೆ ನಮ್ಮ ದೇಶದಲ್ಲಿ ಯಾವ ಯಾವ ರಾಜಕೀಯ ಪಕ್ಷಗಳಲ್ಲಿ ಅಸಮಾನತೆ ಇದೆ ಎಂಬುದು video ಮಾಡಿ ತಿಳಿಸಿ ಸರ್,0
Ennuu 3000 varshaa aadruu jaati buddi oogalaadisalaagalla 😂😂😂😂😂 aadre kaanuunuu manassu maadidre 3 sekend alli hoogalaadisabaudu ❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉,1
Nivu helida Ella matugalu nij bro nan kuda jatina namballa,0
"Yellaru equal andmele Muslim avru hijab hakbardu annodadre Hindus avru kooda hanege hane battu hakbardu....adna avru madokagalla yakandre adu avara culture alva...
Hage hijab annodu muslim avra culture...ok na
Elli yaru hegadru erli adre navella barodu odoke adralli yellaru samanaragi erona aste..
All are equal",1
"Al queda, ISIS, Hamas, Mujaheeddin, Taliban Everalla quaran odillla, paapa evaru maaathra Quaran odidordu !!! its very difficult to believe them. In Kashmir, One  Mulla has been arrested !!! Be careful with the Inner Enemies !!!",1
ಇದು ತಪ್ಪು ನಿರ್ಧಾರ,1
ಭಾರತದಲ್ಲಿ ಯಾವತು ಜಾತಿ ಸಾಯುತೋ ಅವತೆ ಭಾರತಕೆ ಸ್ವಾತಂತ್ರ್ಯ ಸಿಕಹಾಗೆ,0
Karmma ನಿನ್ನ,0
ನಿಮ್ಮ ತರ ಈಗ ಇರುವ ಮೀಡಿಯಾದವರು ಚರ್ಚೆ ಮಾಡಿದರೆ ಮುಂದೆ ಬದಲಾವಣೆ ಯಾಗ ಬಹದು. ಜಾತಿಗೆ ನನ್ನ ಬೆಂಬಲ ಇಲ್ಲಾ. ನಿಮ್ಮ ವಿಚಾರ ಮೌಲ್ಯಯುತ ವಾಗಿದೆ ಇನ್ನು ಜಾಸ್ತಿ ಜಾಸ್ತಿ ಬರಲಿ ಜೈಭೀಮ್.,0
ಗಂಟೆ ಯಾರು ನಿಮ್ಮ ಅಪ್ಪ ಹುಡುಕಿದ ನಿಮ್ಮವ್ವ ಹುಚ್ಚು ರಂಡಿ ಮಗನೇ,1
Modi BJP govt  Covid pandemic  jeeva kaledukonda  Badavarige  yestu  parihaara kotta na,1
Houda hagadre ambedkar avaru bared aa point main reason madi torsi sir avagadru muslimarige arta agli sir...houdalva ?,1
"ರೈ ಹೇಳಿದ್ದ ಹಾಗೆ ಸುಳಿ ಮಗೆ ಏನು ಬೇಕಾದರೆ ಹೆಲ್ಬಹುದು
ಇವನ್ ಅಮ್ಮ ಅಪ್ಪನಿಗೆ ನೋಡಿಕೊಳ್ಳುವ ಯೋಗ್ಯತೆ ಇಲ್ಲದೆ ಮುಸ್ಲಿಂ ಒಬ್ಬ ನೋಡಿಕೊಳ್ಳತ್ತ್ನೆ  ಮಿತ್ರರೇ 

ಇವನಿಗೆ  ಹುಚ್ಚು ಇವನ್ ಫಾಲವೆರ್ ಇನ್ನು ಹೆಂಗೆ ಅಲ್ವಾ ಇವ ಹೆಸರಲ್ಲೇ ಚಕ್ರವರ್ತಿ ಸೂಳೆ ಗೆ ಬೆಲೆ ಇವನ್ ಹುಟ್ಟು ಗೊತ್ ಆಗುತ್ತೆ",1
"ನಿಜವಾದ ಮಾತು, ಜೈ ಶ್ರೀರಾಮ್, ಜೈ ಮೋದಿ ಜಿ",0
@CrazyboyAdil-kk8zt  ಉಗ್ರಗಾಮಿ ಸುವರ್🐷🐷🐷🐖🐖🐖🐷🐷🐷 ಕೆ ಬಚ್ಚೆ ಬಂದಾ👌🤣😀😝😂😅😜😄🤣🤪😀😝😅 😜😄🤪,0
ಬಾಯಿ ಮಾತಲ್ಲಿ ಮಾತ್ರ ಹೇಳೋದಲ್ಲ ಪ್ರೂಫ್ ಕೊಡಬೇಕು,0
ಕೊಳಕು ಮನಸ್ಥಿತಿಯ jana,1
"Bolimagane en mathandthiddiya sulle magne,",1
thurkara kaladalli,0
Rajiname kottu matadi.,0
"Edi prapanchakke gothu nim history. Bayothpadane. Desha droha. Komu galabhe, jeehaadh. Ede nim history, ondadru olle history edya",1
"ಜಾತಿಯ ಮೂಲ ಇತಿಹಾಸ ಹಿನ್ನಲೆ ಅದು ನಡೆದು ಬಂದ ದಾರಿಯನ್ನು ತುಂಬಾ ಅಚ್ಚುಕಟ್ಟಾಗಿ ಅರ್ಥಗರ್ಭಿತವಾಗಿ ಆಧಾರಸಹಿತ ತಿಳಿಸಿದ್ದಕ್ಕಾಗಿ ತಮಗೆ ಧನ್ಯವಾದಗಳು. ನಿಮ್ಮ ಮನಸ್ಥಿತಿಯ ವ್ಯಕ್ತಿಗಳು ನನ್ನ ಭಾರತ ದೇಶಕ್ಕೆ ಬೇಕು ಹೊಸ ಪೀಳಿಗೆಯಲ್ಲಿ ಮುಕ್ತ ಮನಸ್ಸಿನಿಂದ ಜಾತಿರಹಿತ ಸಮಾಜಕ್ಕಾಗಿ ಕನಸು ಕಾಣುತ್ತಿರುವ ನಿಮಗೆ ಮತ್ತೊಮ್ಮೆ ಧನ್ಯವಾದಗಳು.
      ಪ್ರಸ್ತುತ ನನ್ನ ವಯಸ್ಸು 30 ವರ್ಷ. ನಾನು ಕಳೆದ 12 ವರ್ಷಗಳಿಂದ ಒಂದು ಮೇಲ್ಜಾತಿ ಹುಡುಗಿಯ ಜೊತೆ ಪ್ರೀತಿಯಲ್ಲಿದ್ದೇನೆ.  ನಾವು 12 ವರ್ಷದ ಹಿಂದೆ ಪರಸ್ಪರ ಪ್ರೀತಿಸಲು ಪ್ರಾರಂಭಿಸಿದಾಗ ನಮಗೆ ಮೇಲು ಕೀಳು ಎಂಬ ಅರಿವೇ ಇರಲಿಲ್ಲ,  ವಯಸ್ಸಾದ ನಂತರ ನಮಗೆ ಈ ಜಾತಿ ವ್ಯವಸ್ಥೆಯ ಕ್ರೂರತೆ ಅರ್ಥವಾಯಿತು. ನಾವು ಹೇಗಾದರೂ ಮಾಡಿ ಉಬಯ ಕುಟುಂಬದವರ ಒಪ್ಪಿಗೆ ಪಡೆದು ಮಾದುವೆಯಾಗಬೇಕೆಂದು ತೀರ್ಮಾಣಿಸಿದೆವು. ನಂತರ ನಾವು ಕಠಿಣ ಶ್ರಮದಿಂದ ಸಮಾಜದಲ್ಲಿ ಉನ್ನತ ಸ್ಥಾನಕ್ಕೆರಿದರೆ ಮನೆಯಲ್ಲಿ ಒಪ್ಪಿ ನಮಗೆ ಮದುವೆ ಮಾಡಿಕೊಡಬಹುದೆಂಬ ಆಶಾ ಭಾವನೆಯಿಂದ ಇಬ್ಬರು ಕಠಿಣ ಪರಿಶ್ರಮದಿಂದ ಓದಿ  ಸರ್ಕಾರಿ ಕೆಲಸವನ್ನೂ ಪಡೆದೆವು. ನಂತರ ನನ್ನ ಬಾವಿ ಪತ್ನಿ ಅವರ ಕುಟುಂಬದವರ ಬಳಿ ನಮ್ಮ ಮದುವೆ ವಿಚಾರ ಪ್ರಸ್ತಾಪಿಸಿದಾಗ ಪರಿಶಿಷ್ಟ ಜಾತಿ (ಹೊಲೆಯ) ನನ್ನು ಬಿಟ್ಟು ಲಿಂಗಾಯತರು,ಗೌಡರು, ಬ್ರಾಹ್ಮಣ ಹಾಗೂ ಇನ್ನಿತರ ಯಾವುದೇ ಉನ್ನತ ಜಾತಿಯವರು ಯಾವುದೇ ಕೆಲಸ ಕಾರ್ಯವಿಲ್ಲದಿದ್ದರೂ ಸಹ ಅವರೊಂದಿಗೆ ಮದುವೇ ಮಾಡಿ ಕೊಡುವುದಾಗಿ ಹೇಳಿದರು. ಇದರಿಂದ ನಮ್ಮ ಆಷಾಗೋಪುರವೆ ಕುಸಿಯಿತು. ಬೇರೆ ಏನನ್ನಾದರೂ ಮಾಡಿ ಪ್ರೀತಿ ಉಳಿಸಿಕೊಳ್ಳಬೇಕೆಂದು ಹಠಕ್ಕೆ ಬಿದ್ದು ಬೇರೆ ಜಾತಿಗೆ ಸೇರುವ ದಾರಿಯನ್ನು ಹುಡುಕಿದೆ ಆದರೆ ಅದು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ. ಜಾತಿಯನ್ನೇ ಒಪ್ಪದ ಮನಸ್ಥಿತಿಯವರು ಮತಾಂತರವಾದರೆ ಒಪ್ಪುತ್ತಾರ ಎಂದು ತೀರ್ಮಾನಿಸಿ ಆ ಕೆಲಸಕ್ಕೂ ಕೈ ಹಾಕಲಿಲ್ಲ. ಕೊನೆಗೆ ಸಾಕಿ ಸಲಹಿದವರನ್ನು ಗೌರವಿಸಬೇಕೆಂದು ತೀರ್ಮಾಣಿಸಿ ಕುಟುಂಬಕ್ಕೆ ನೋವು ದುಃಖ್ಖ ಹಾಗೂ  ಗೌರವಕ್ಕೆ ಚ್ಯುತಿ ತರಬಾರದೆಂಬ ಉದ್ದೇಶದಿಂದ ಇಬ್ಬರು  ಪರಸ್ಪರ ಚರ್ಚಿಸಿ ನಾವು ಜೀವನ ಪರ್ಯಂತ ಯಾರನ್ನು ಮಾದುವೆಯಾಗದೆ ಹೀಗೆಯೇ ಒಂಟಿಯಾಗಿ ಬದುಕುವ ತೀರ್ಮಾನ ಮಾಡಿದ್ದೇವೆ.
         ನಾವು ಓದಿದ್ದೇವೆ, ತಿಳಿದುಕೊಂಡಿದ್ದೇವೆ, ಪರಸ್ಪರ ಅರ್ಥ ಮಾಡಿಕೊಂಡಿದ್ದೇವೆ, ಸಂಬಂಧದಲ್ಲಿ ನಂಬಿಕೆ ಇಟ್ಟಿದ್ದೇವೆ, ನಮ್ಮ ಕಾಲ ಮೇಲೆ ನಾವು ನಿಂತಿದ್ದೇವೆ, ಮದುವೆಯಾದರೆ ಚೆನ್ನಾಗಿ ಬದುಕುತ್ತೇವೆಂಬ ಅಪಾರವಾದ ನಂಬಿಕೆ ಇದೆ, ಯಾರ ಹಂಗಿಲ್ಲದೆ ಬದುಕುವ ಸಾಮರ್ಥ್ಯ ಹೊಂದಿದ್ದೇವೆ ಆದರೆ ಜಾತಿಯಲ್ಲಿ ಮಾತ್ರ ನಾವು ಸಮಾನರಾಗಲಿಲ್ಲ. ಇದು ನನ್ನ ಕತೆ ಮತ್ತು ವ್ಯಥೆ ಏನಾದರು ಪರಿಹಾರ ಇದ್ದರೇ ತಿಳಿಸಿ.",0
ಹಿಂದೂ ಹುಲಿ ಜೈ ಯತ್ನಲ್ ಜೀ,0
Dwaara  Palakarelii Thakshana  ivrannu Vedikeinda  Kelagilsi yaava kailey bandirbeku chiksthege Baruthilla,0
"Idu anyaaya istu dodda shikshe tappu,",0
"ನೋಡಿ ಸತ್ಯ ಇದೆ, ವೆರಿ ಗುಡ್, 👍",0
Bhavay neevu nimma athibuddivanthikege dayavittu kadivaana haaki sumne baayi muchri saaku nimma pinda nimma yogyathege ondu javabdariyutha msg kodakke baralla nevella namma deshada politicians en karma namage,1
"ಮೋಹನ್ ಭಾಗವತರು ಅವರ RSS ಮತ್ತು ಭ್ರಹ್ಮಣರು ದೇವಸ್ಥಾನದ ಧಾರ್ಮಿಕ ಚಟುವಟಿಕೆಗಳ್ನ ದಲಿತರಿಗೆ ಬಿಟ್ಟು ಕೊಟ್ಟುದಲಿತರು ಮಾಡುವ ಕೆಲ್ಸಗಳ್ನ ಅಂದ್ರೆ ಕಸ ಎತ್ತೋದು ಕಕ್ಕಸ್ಸು ತೊಳೆಯುವರೇ, ಮೋಹನ್ ಭಾಗವತ ಒಬ್ಬ ಅಪ್ರಾಮಾಣಿಕ ಕಟ್ಟಾ ಜಾತಿವಾದಿ, ಕೋಮುವಾದಿ 😂😂😂😂",1
ಪಾರ್ಟಿ ಪಕ್ಷ ಬಿಟ್ಟು ದೇಶದ ಭದ್ರತೆ ಬಗ್ಗೆ ಮಾತಾಡಿ ಪಾರ್ಟಿ ಪಕ್ಷ ನಿಮ್ಮ ನಿಮ್ಮಲ್ಲೇ ಇಟ್ಟು ಕೊಳ್ಳಿ,0
ಪ್ರಾಥಮಿಕ ಶಾಲಾ ದಾಖಲಾತಿ ಪುಸ್ತಕದಲ್ಲಿ ಜಾತಿ ಕಾಲಂ ಅನ್ನು ತೆಗೆಯಬೇಕು ಮತ್ತು ದಾಖಲಾತಿ ಸಮಯದಲ್ಲಿ ಜಾತಿಯನ್ನೂ ಉಲ್ಲೇಖಸಬಾರದು ಆಗ ಜಾತಿ ವ್ಯವಸ್ಥೆ ಸ್ವಲ್ಪ ಸುಧಾರಣೆ ಆಗಬಹುದು.,0
